 't," ""An it"
possessed," ""Controlled by an evil spirit or by evil passions; wild."""
relievo," ""Alto-rilievo."""
rilievo," ""High relief; sculptured work in which the figures project more than half their thickness; as"
sails," ""The sails on the mizzenmast"
shaped," ""Subulate. See Subulate."""
shell," ""One of the sessile cirripeds; a barnacle of the genus Balanus. See Barnacle."""
slacked," ""Slacked"
sledge," ""The largest hammer used by smiths."""
squire," ""A pimp; a kept gallant."""
stricken," ""Awe-struck."""
struck," ""Struck with awe."""
tight," ""A stove the draft of which can be almost entirely shut off."""
trade," ""A tropical wind blowing steadily in a direction opposite to the trade wind."""
wit," ""Wisdom or perception that comes after it can be of use."""
A," ""An expletive"
Catholic," ""A member of the Church of England who contends for its catholic character; more specifically"
Embassade," ""An embassy."""
Embassador," ""An official messenger and representative."""
Esopian," ""Of or pertaining to Aesop"
Esopic," ""Same as Aesopian."""
Esthesiometer," ""An instrument to measure the degree of sensation"
Esthetics," ""The theory or philosophy of taste; the science of the beautiful in nature and art; esp. that which treats of the expression and embodiment of beauty by art."""
Gum ammoniac," ""The concrete juice (gum resin) of an umbelliferous plant"
Saxon," ""Of or pertaining to the Anglo-Saxons or their language."""
a," ""An ancient name of a gum."""
 breve," ""With one breve"
 querela," ""A writ which lies for a party against whom judgment is recovered"
bal," ""A kettledrum; a kind of tabor"
batism," ""Doubt; uncertainty."""
bilities," ""of Availability"""
bility," ""That which is available."""
ble," ""Capable of being avowed"
bly," ""In an answerable manner; in due proportion or correspondence; suitably."""
c," ""A book or table"
a," ""A thin kind of cloth made of the wooly hair of the alpaca"
mite," ""An oxychloride of copper"
ea," ""A group of soft-bodied Alcyonaria"
eous," ""Of"
i," ""of Abacus"""
k," ""An abacus."""
ore," ""See Albicore."""
ratic," ""Amasthenic."""
t," ""A preceding act."""
inal," ""Pertaining to the surface or end opposite to the mouth in a radiate animal; -- opposed to actinal."""
ion," ""Stealing cattle on a large scale."""
or," ""One who steals and drives away cattle or beasts by herds or droves."""
uli," ""of Abaculus"""
ulus," ""A small tile of glass"
us," ""A board"
y," ""Alternateness; alternation."""
da," ""A fleet of armed ships; a squadron. Specifically"
vat," ""The strawberry finch"
y," ""An exclamation expressing sorrow."""
ddon," ""Hell; the bottomless pit."""
de," ""A distilled water from a variety of aromatic plants"
dia," ""Fig.: Any region or scene of simple pleasure and untroubled quiet."""
dic," ""Of or pertaining to Arcadia; pastoral; ideally rural; as"
dillo," ""A genus of small isopod Crustacea that can roll themselves into a ball."""
do," ""Armada."""
u," ""A spongy"
e," ""The two projecting feathered angles of the forehead of some birds; the frontal points."""
an," ""The earliest period in geological period"
ography," ""A description of"
olithic," ""Of or pertaining to the earliest Stone age; -- applied to a prehistoric period preceding the Paleolithic age."""
ologian," ""An archaeologist."""
ologic," ""Alt. of Archaeological"""
ologist," ""One versed in archaeology; an antiquary."""
ology," ""The science or study of antiquities"
opteryx," ""A fossil bird"
ostomatous," ""Applied to a gastrula when the blastopore does not entirely close up."""
ozoic," ""Like or belonging to the earliest forms of animal life."""
f/tida," ""Same as Asafetida."""
ft," ""Toward the stern; aft; as"
er," ""After."""
gai," ""Alt. of Assegai"""
ge," ""To form"
ghan," ""See Yataghan."""
ging," ""of Average"""
h," ""A native nurse for children; also"
i," ""A direction equivalent to very; as"
an," ""Alt. of Altaic"""
c," ""Of or characterized by antiquity or archaism; antiquated; obsolescent."""
s," ""The ethical theory which excludes all relations between virtue and happiness; the science of virtue; -- contrasted with eudemonics."""
l," ""To figure or variegate."""
n," ""To lower the topsail"
sance," ""Obeisance."""
ser," ""Ivory black or animal charcoal."""
sm," ""Antiquity of style or use; obsoleteness."""
st," ""One who uses archaisms."""
ze," ""To make appear archaic or antique."""
zing," ""of Archaize"""
k," ""In a vertical line. The anchor in apeak"
e," ""To overtake."""
l," ""Of or pertaining to the azimuth; in a horizontal circle."""
athus," ""A genus of plants of the natural order Leguminosae. The species are chiefly natives of the Cape of Good Hope."""
bumid," ""A body formed from albumin by pancreatic and gastric digestion. It is convertible into antipeptone."""
bumose," ""See Albumose."""
gam," ""To amalgamate."""
ienate," ""To cause alienation of (mind)."""
ienation," ""The act of abalienating; alienation; estrangement."""
ly," ""In an astatic manner."""
one," ""A univalve mollusk of the genus Haliotis. The shell is lined with mother-of-pearl"
usite," ""A silicate of aluminium"
m," ""A Dutch and German measure of liquids"
an," ""A hetman"
ar," ""The peculiar bitter substance"
e," ""To shame."""
nt," ""A tempering"
se," ""A native or natives of Assam."""
n," ""Of or pertaining to the town of Augsburg."""
a," ""of Arcanum"""
ce," ""Upholding; defense; vindication."""
cing," ""of Allowance"""
cy," ""The quality of attending or accompanying; attendance; an attendant."""
d," ""To withstand."""
ine," ""A kind of cold cream prepared from almonds"
rous," ""A terminal combining form: Having a stamen or stamens; staminate; as"
e," ""Hidden; secret."""
ous," ""Pertaining to absence."""
t," ""See Abnet."""
ga," ""A West Indian palm; also the fruit of this palm"
gel," ""A term applied to several different species of plants (Angelica archangelica"
ite," ""A silicate containing a large amount of cerium. It is usually black in color"
itine," ""The poisonous principle of some fungi."""
nation," ""Alt. of Abannition"""
nition," ""Banishment."""
s," ""Those who live under the same meridian"
t," ""The defendant in replevin"
e," ""A movement or piece in andante time."""
e," ""Of or pertaining to Ashantee."""
hus," ""Same as Ailantus."""
ino," ""Rather quicker than andante; between that allegretto."""
oic," ""Pertaining to"
oid," ""A membranous appendage of the embryos of mammals"
oin," ""A crystalline"
ois," ""Alt. of Allantoid"""
us," ""A genus of beautiful trees"
uenses," ""of Amanuensis"""
uensis," ""A person whose employment is to write what another dictates"
um," ""A secret remedy; an elixir."""
pan," ""Alt. of Assapanic"""
phrodisiac," ""Same as Antaphrodisiac."""
poplectic," ""Same as Antapoplectic."""
r," ""Of or pertaining to the astragalus."""
ac," ""Red orpiment."""
us," ""A fragrant flower."""
agine," ""A white"
aginous," ""Pertaining or allied to"
agus," ""The young and tender shoots of A. officinalis"
ant," ""Amaranth"
axia," ""Alt. of Ataraxy"""
axy," ""Perfect peace of mind"
ca," ""Dropsy of the subcutaneous cellular tissue; an effusion of serum into the cellular substance"
chy," ""A suffix properly meaning a rule"
cous," ""Belonging"
d-vark," ""An edentate mammal"
d-wolf," ""A carnivorous quadruped (Proteles Lalandii)"
ia," ""One of the orders of Anthozoa. It includes the Alcyonacea"
n," ""One who holds to no particular creed or dogma."""
ied," ""Wearied."""
ies," ""of Accessary"""
ily," ""Customarily."""
ine," ""A characteristic crystalline substance"
ss," ""The quality of being alimentary; nourishing quality."""
itude," ""Bitterness."""
nement," ""Savage fierceness; ferocity."""
on's rod," ""A plant with a tall flowering stem; esp. the great mullein"
onic," ""Alt. of Aaronical"""
t," ""To grub up"
ic," ""Pertaining to"
ulation," ""Articulation"
y," ""Weary."""
llidaceous," ""Alt. of Amaryllideous"""
llideous," ""Of"
llis," ""A genus of the same family"
s," ""The pineapple (Ananassa sativa)."""
e," ""To cast down or reduce low or lower"
h," ""To destroy the self-possession of; to confuse or confound"
ian," ""A native or an inhabitant of Australasia."""
ing," ""of Abase"""
s," ""A mass; a heap."""
i," ""Alt. of Abassis"""
n," ""To assassinate."""
thenic," ""Uniting the chemical rays of light into one focus"
thmatic," ""Same as Antasthmatic."""
tion," ""Roasting."""
t," ""Any step wrongly innovated or attempted in a suit by an inferior judge."""
a," ""A class of articulate animals"
ble," ""Capable of being abated; as"
rrhal," ""An anticatarrhal remedy."""
e," ""To prove authentic; to determine as real and true; as"
ness," ""The quality of being apportioned or in proportion."""
her," ""On the weather side"
hode," ""The part of a vacuum tube opposite the cathode. Upon it the cathode rays impinge."""
ian," ""An inhabitant of Alsatia or Alsace in Germany"
ic," ""Alt. of Axiomatical"""
ina," ""A genus of land snails"
ing," ""of Authenticate"""
ion," ""An examination by listening either directly with the ear (immediate auscultation) applied to parts of the body"
is," ""Alt. of Abattis"""
t," ""A collector or maker of apothegms."""
ive," ""A word which expresses with augmented force the idea or the properties of the term from which it is derived; as"
ize," ""To utter apothegms"
or," ""One who practices auscultation."""
ial," ""Of or pertaining to a lover or to love making; amatory; as"
ian," ""Amatory."""
ious," ""Amatory."""
y," ""Asseverative."""
our," ""Purveyor; acater."""
ous," ""Same as Angiospermous."""
rate," ""To bark as a dog."""
ross," ""A web-footed bird"
tis," ""A means of defense formed by felled trees"
toir," ""A public slaughterhouse for cattle"
trition," ""Anything to prevent the effects of friction"
ure," ""Iron bars or framing employed for the consolidation of a building"
voix," ""The sounding-board over a pulpit or rostrum."""
ult," ""To attack with moral means"
unt," ""Alt. of Ataunto"""
urosis," ""A loss or decay of sight"
urotic," ""Affected with amaurosis; having the characteristics of amaurosis."""
usodic," ""Same as Anticausotic."""
usotic," ""A remedy for such a fever."""
ut," ""A cephalopod of the genus Argonauta."""
vic," ""Pertaining to a remote ancestor"
vism," ""The recurrence of any peculiarity or disease of an ancestor in a subsequent generation"
wed," ""Astonished; abashed."""
x," ""One of the largest African antelopes (Hippotragus"
ia," ""Alt. of Ataxy"""
l," ""Alt. of Abaxile"""
ic," ""Characterized by ataxy"
ile," ""Away from the axis or central line; eccentric."""
y," ""The state of disorder that characterizes nervous fevers and the nervous condition."""
y," ""To attempt"
ze," ""Bewilderment"
zimuth," ""An instrument for taking azimuths and altitudes simultaneously."""
zing," ""Causing amazement; very wonderful; as"
zir," ""The influence of a star upon other stars or upon men."""
zon," ""A name numerous species of South American parrots of the genus Chrysotis"""
b," ""One of a swarthy race occupying Arabia"
-," ""Alt. of Ambi-"""
acchius," ""A foot of three syllables"
ages," ""A circuit; a winding. Hence: Circuitous way or proceeding; quibble; circumlocution; indirect mode of speech."""
aginous," ""Ambagious."""
agious," ""Circumlocutory; circuitous."""
agitory," ""Ambagious."""
alest," ""Alt. of Arbalist"""
alist," ""A crossbow"
ama period," ""A period in the American eocene"
aptism," ""The doctrine of the Anabaptists."""
aptist," ""A name sometimes applied to a member of any sect holding that rebaptism is necessary for those baptized in infancy."""
aptize," ""To rebaptize; to rechristen; also"
as," ""A genus of fishes"
sade," ""Alt. of Embassade"""
sador," ""Alt. of Embassador"""
sadress," ""A female ambassador; also"
sage," ""Same as Embassage."""
sy," ""See Embassy"
ter," ""A box or vessel for holding odoriferous ointments"
tra," ""of Alabastrum"""
trian," ""Alabastrine."""
trine," ""Of"
trum," ""A flower bud."""
atic," ""Pertaining to anabasis; as"
e," ""An unburnt brick dried in the sun; also used as an adjective"
ar," ""An edentate animal of tropical America (the Tamanoir)"
nch," ""A bench in or before an alehouse."""
r," ""To preserve in amber; as"
ry," ""A beverage"
s-as," ""Ambs-ace."""
stic," ""Of"
stiform," ""Having the form or structure of asbestus."""
stine," ""Of or pertaining to asbestus"
stos," ""A variety of amphibole or of pyroxene"
stous," ""Asbestic."""
stus," ""Alt. of Asbestos"""
t," ""To designate by the letters of the alphabet; to arrange alphabetically."""
i-," ""A prefix meaning about"
idexter," ""A juror who takes money from both parties for giving his verdict."""
idextral," ""Pertaining equally to the right-hand side and the left-hand side."""
idextrous," ""Practicing or siding with both parties."""
ient," ""Something that surrounds or invests; as"
igenous," ""Partaking of two natures"
igu," ""An entertainment at which a medley of dishes is set on at the same time."""
ilevous," ""Left-handed on both sides; clumsy; -- opposed to ambidexter."""
ility," ""The quality of being amiable; amiableness; sweetness of disposition."""
ill," ""Topped up; having one yardarm higher than the other."""
ous," ""Counteractive of bilious complaints; tending to relieve biliousness."""
iloquy," ""Doubtful or ambiguous language."""
iparous," ""Characterized by containing the rudiments of both flowers and leaves; -- applied to a bud."""
irth," ""The placenta and membranes with which the fetus is connected"
ishop," ""A chief bishop; a church dignitary of the first class (often called a metropolitan or primate) who superintends the conduct of the suffragan bishops in his province"
it," ""Circuit or compass."""
er," ""To act as arbiter between."""
rable," ""Capable of being decided by arbitration; determinable."""
rage," ""A traffic in bills of exchange (see Arbitration of Exchange); also"
ral," ""Of or relating to an arbiter or an arbitration."""
rament," ""The award of arbitrators."""
rarily," ""In an arbitrary manner; by will only; despotically; absolutely."""
rariness," ""The quality of being arbitrary; despoticalness; tyranny."""
rarious," ""Arbitrary; despotic."""
rary," ""Despotic; absolute in power; bound by no law; harsh and unforbearing; tyrannical; as"
rate," ""To act as arbitrator or judge; as"
rating," ""of Arbitrate"""
ration," ""The hearing and determination of a cause between parties in controversy"
rator," ""One who has the power of deciding or prescribing without control; a ruler; a governor."""
ratrix," ""A female who arbitrates or judges."""
ress," ""A female arbiter; an arbitratrix."""
last," ""A crossbow. See Arbalest."""
le," ""Done out of love."""
ling," ""of Amble"""
lins," ""Alt. of Ablins"""
lotic," ""Tending to cause abortion."""
ly," ""In an amiable manner."""
gon," ""An obtuse-angled figure"
opia," ""Alt. of Amblyopy"""
opic," ""Of or pertaining to amblyopy."""
opy," ""Weakness of sight"
poda," ""A group of large"
o," ""A large pulpit or reading desk"
ard," ""Above the board or table. Hence: in open sight; without trick"
dy," ""A person of consideration or standing."""
lic," ""Pertaining to anabolism; an anabolic changes"
lin," ""A peculiar acrid and bitter oil"
lism," ""The constructive metabolism of the body"
ne," ""The bone of the rump; also"
r," ""A mandrel in lathe turning."""
utant," ""A flying buttress."""
rachial," ""Of or pertaining to the antibrachium"
rachium," ""That part of the fore limb between the brachium and the carpus; the forearm."""
reate," ""A salt formed by the combination of ambreic acid with a base or positive radical."""
reic," ""Of or pertaining to ambrein; -- said of a certain acid produced by digesting ambrein in nitric acid."""
rein," ""A fragrant substance which is the chief constituent of ambergris."""
ries," ""of Ambry"""
rite," ""A fossil resin occurring in large masses in New Zealand."""
romic," ""An agent that destroys offensive smells; a deodorizer."""
rose," ""A sweet-scented herb; ambrosia. See Ambrosia"
rosia," ""Formerly"
rosin," ""An early coin struck by the dukes of Milan"
rotype," ""A picture taken on a plate of prepared glass"
ry," ""Same as Ambry."""
s-ace," ""Double aces"
ulacra," ""of Ambulacrum"""
l," ""Next to the ambulacra; as"
ulacriform," ""Having the form of ambulacra."""
ulacrum," ""One of the suckers on the feet of mites."""
ulance," ""An ambulance wagon or cart for conveying the wounded from the field"
ulant," ""Walking; moving from place to place."""
ulate," ""To walk; to move about."""
ulation," ""The act of walking."""
ulative," ""Walking."""
ulator," ""An instrument for measuring distances; -- called also perambulator."""
urgher," ""One who seceded from the Burghers (1747)"
urry," ""Same as Anbury."""
ury," ""Alt. of Ambury"""
uscade," ""To lie in ambush."""
uscading," ""of Ambuscade"""
uscado," ""Ambuscade."""
uscle," ""A dwarf tree"
uscular," ""Of or pertaining to a dwarf tree; shrublike."""
ush," ""To lie in wait"
ustion," ""A burn or scald."""
ustive," ""Containing copses of trees or shrubs; covered with shrubs."""
ute," ""The strawberry tree"
utler," ""A chief butler; -- an officer of the German empire."""
utus," ""Alt. of Arbute"""
uy," ""To redeem."""
c," ""The apparent arc described"
a," ""A genus of palms"
cia," ""The inspissated juice of several species of acacia; -- called also gum acacia"
cin," ""Alt. of Acacine"""
de," ""Same as Alcaid."""
me," ""An academy."""
mial," ""Academic."""
mian," ""A member of an academy"
mic," ""A member of an academy"
mies," ""of Academy"""
mism," ""The doctrines of the Academic philosophy."""
mist," ""An academician."""
my," ""A school or place of training in which some special art is taught; as"
dian," ""A native of Acadie."""
hest," ""Same as Alkahest."""
ic," ""A kind of verse"
id," ""Alt. of Alcayde"""
jou," ""The mahogany tree; also"
lde," ""A magistrate or judge in Spain and in Spanish America"
leph," ""Alt. of Acalephan"""
limeter," ""See Alkalimeter."""
lycine," ""Alt. of Acalysinous"""
lypse," ""Anything viewed as a revelation; a disclosure."""
lyptic," ""Alt. of Apocalyptist"""
lyptist," ""The writer of the Apocalypse."""
lysinous," ""Without a calyx"
mptic," ""Reflecting of reflected; as"
nese," ""A native or natives of Aracan."""
nna," ""An oriental shrub (Lawsonia inermis) from which henna is obtained."""
ntar," ""A recently invented instrument for observing the heavenly bodies as they cross a given almacantar circle. See Almucantar."""
nth," ""Same as Acanthus."""
ini," ""Alt. of Anacanths"""
ous," ""Spineless"
s," ""A group of teleostean fishes destitute of spiny fin-rays"
psular," ""Having no capsule."""
rdiac," ""Without a heart; as"
eous," ""Belonging to"
rdic," ""Pertaining to"
rdium," ""A genus of plants including the cashew tree. See Cashew."""
ri," ""A South American bird"
d," ""A parasitic nematoid worm"
roid," ""Shaped like or resembling a mite."""
rpellous," ""Having no carpels."""
rpous," ""Either entirely or partially separate"
rraza," ""A vessel of porous earthenware"
rus," ""A genus including many species of small mites."""
st," ""A throw of dice after the game in ended; hence"
talectic," ""A verse which has the complete number of feet and syllables."""
talepsy," ""Incomprehensibility of things; the doctrine held by the ancient Skeptic philosophers"
taleptic," ""Incapable of being comprehended; incomprehensible."""
te," ""To contend in words; to dispute with zeal"
r," ""See Caterer."""
s," ""See Cates."""
thartic," ""An anacathartic medicine; an expectorant or an emetic."""
ting," ""of Altercate"""
tion," ""Warm contention in words; dispute carried on with heat or anger; controversy; wrangle; wordy contest."""
tive," ""Characterized by wrangling; scolding."""
